grupa,klucz,kryterium,decyzja,powod,rola,id,nazwa,domena,nazwa_znormalizowana,utworzono,kontakty,deale,url
1,accenture.com,domena,scal,,MASTER,8980379616,Accenture Poland,accenture.com,accenture poland,2023-11-09,0,0,https://app.hubspot.com/contacts/26782316/record/0-2/8980379616
1,accenture.com,domena,scal,,scal-do-mastera,19260593911,Accenture,accenture.com,accenture,2024-10-11,0,0,https://app.hubspot.com/contacts/26782316/record/0-2/19260593911
2,andersenlab.com,domena,scal,,MASTER,7058048191,Andersen,andersenlab.com,andersen,2023-02-20,0,0,https://app.hubspot.com/contacts/26782316/record/0-2/7058048191
2,andersenlab.com,domena,scal,,scal-do-mastera,9333900261,Andersen People,andersenlab.com,andersen people,2023-12-21,0,0,https://app.hubspot.com/contacts/26782316/record/0-2/9333900261
3,apollo.io,domena,weryfikuj,"ta sama domena, ale istotnie różne nazwy — mogą to być odrębne podmioty",MASTER,8671786960,Apollo.io,apollo.io,apollo io,2023-10-06,8,0,https://app.hubspot.com/contacts/26782316/record/0-2/8671786960
3,apollo.io,domena,weryfikuj,"ta sama domena, ale istotnie różne nazwy — mogą to być odrębne podmioty",scal-do-mastera,11581716957,ZenLeads Inc. (dba Apollo.io),apollo.io,zenleads inc dba apollo io,2024-05-06,1,0,https://app.hubspot.com/contacts/26782316/record/0-2/11581716957
4,asseco.com,domena,weryfikuj,"ta sama domena, ale istotnie różne nazwy — mogą to być odrębne podmioty",MASTER,9251074028,Radical Sales Team,asseco.com,radical sales team,2023-12-09,1,0,https://app.hubspot.com/contacts/26782316/record/0-2/9251074028
4,asseco.com,domena,weryfikuj,"ta sama domena, ale istotnie różne nazwy — mogą to być odrębne podmioty",scal-do-mastera,9251127516,ASEE,asseco.com,asee,2023-12-09,0,0,https://app.hubspot.com/contacts/26782316/record/0-2/9251127516
4,asseco.com,domena,weryfikuj,"ta sama domena, ale istotnie różne nazwy — mogą to być odrębne podmioty",scal-do-mastera,421585974468,Asseco Poland,asseco.com,asseco poland,2026-03-16,0,0,https://app.hubspot.com/contacts/26782316/record/0-2/421585974468
5,auroria.pl,domena,scal,,MASTER,434988372173,Auroria Sp. z o.o.,auroria.pl,auroria,2026-06-25,5,0,https://app.hubspot.com/contacts/26782316/record/0-2/434988372173
5,auroria.pl,domena,scal,,scal-do-mastera,422127189231,Auroria,auroria.pl,auroria,2026-03-20,0,0,https://app.hubspot.com/contacts/26782316/record/0-2/422127189231
6,autenti.com,domena,scal,,MASTER,8917786562,Autenti,autenti.com,autenti,2023-11-02,1,0,https://app.hubspot.com/contacts/26782316/record/0-2/8917786562
